,id,data,PRCP,TMAX,TMIN
0,MX000017004,08-13-2010,168.0,298.0,165.0
1,MX000017004,08-23-2010,0.0,264.0,150.0
2,MX000017004,08-25-2010,0.0,297.0,156.0
3,MX000017004,08-29-2010,188.0,280.0,153.0
4,MX000017004,08-31-2010,0.0,254.0,154.0
5,MX000017004,08-5-2010,38.0,296.0,158.0
6,MX000017004,08-8-2010,239.0,290.0,173.0
7,MX000017004,10-14-2010,0.0,295.0,130.0
8,MX000017004,10-15-2010,0.0,287.0,105.0
9,MX000017004,10-28-2010,0.0,312.0,150.0
10,MX000017004,10-5-2010,0.0,270.0,140.0
11,MX000017004,10-7-2010,0.0,281.0,129.0
12,MX000017004,11-2-2010,0.0,313.0,163.0
13,MX000017004,11-26-2010,0.0,281.0,121.0
14,MX000017004,11-27-2010,0.0,277.0,142.0
15,MX000017004,11-4-2010,0.0,272.0,120.0
16,MX000017004,11-5-2010,0.0,263.0,79.0
17,MX000017004,12-1-2010,0.0,299.0,138.0
18,MX000017004,12-6-2010,0.0,278.0,105.0
